Player,MP,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Bruno Caboclo,36.0,10.9,1.9,5.6,2.6,5.3,1.6,1.9,2.4,5.0,7.4,2.1,1.1,1.6,1.9,3.7,12.2
Bruno Fernando,36.0,10.2,0.3,2.0,5.1,8.2,1.4,2.6,3.4,6.5,9.9,2.6,0.9,0.9,2.3,5.4,12.2
Bryn Forbes,36.0,12.4,2.7,6.8,2.7,5.6,1.3,1.5,0.3,2.8,3.2,2.5,0.7,0.0,1.2,2.5,14.8
Buddy Hield,36.0,17.4,3.6,8.7,4.0,8.6,1.7,1.9,1.0,4.4,5.5,2.9,1.0,0.4,2.2,2.6,20.7
CJ McCollum,36.0,18.7,2.5,6.3,6.0,12.5,2.6,3.1,0.7,3.2,3.9,3.8,0.9,0.4,2.0,2.5,22.2
CJ Miles,36.0,14.4,3.5,9.7,2.3,4.9,2.1,2.5,0.5,3.7,4.2,1.4,1.1,0.5,1.2,3.3,17.2
CJ Watson,36.0,8.4,1.0,3.3,2.0,4.9,2.0,2.2,0.6,2.9,3.3,4.3,1.4,0.2,1.6,2.9,9.2
CJ Wilcox,36.0,13.0,1.8,4.7,3.0,7.7,1.2,1.8,0.6,2.4,3.0,3.0,1.8,0.6,1.2,3.0,11.8
CJ Williams,36.0,10.0,1.1,4.1,3.4,5.9,0.5,0.7,0.5,2.3,2.7,2.3,1.6,0.5,1.1,3.4,10.7
Caleb Swanigan,36.0,8.7,0.0,0.8,3.7,7.9,1.7,2.5,3.3,8.7,12.0,2.9,0.8,0.4,4.1,7.0,9.5
Cam Reddish,36.0,12.9,1.9,5.8,3.0,7.0,2.3,3.0,0.8,4.2,5.0,2.0,1.5,0.7,2.3,3.1,14.2
Cameron Johnson,36.0,11.6,3.1,7.9,2.0,3.8,1.3,1.6,1.5,3.9,5.4,2.0,1.0,0.7,1.0,2.5,14.4
Cameron Payne,36.0,13.4,2.0,5.5,3.5,7.9,1.1,1.3,0.7,3.5,4.2,5.5,1.5,0.4,2.2,3.5,13.6
Caris LeVert,36.0,15.2,1.8,5.3,4.9,10.0,2.8,3.9,1.1,4.0,5.2,5.0,1.5,0.4,2.7,2.7,17.7
Carl Landry,36.0,15.7,0.5,0.9,8.4,15.0,4.3,5.7,3.2,6.2,9.3,2.1,0.7,0.5,1.4,4.3,22.3
Carmelo Anthony,36.0,17.6,1.9,5.5,5.5,12.1,3.4,4.2,1.2,5.7,6.9,2.6,0.9,0.5,1.9,2.9,20.4
Carsen Edwards,36.0,13.3,2.3,8.0,1.9,5.3,1.5,1.9,0.8,4.2,4.9,2.3,1.1,0.4,1.5,3.4,12.5
Cedi Osman,36.0,11.7,2.0,5.6,3.0,6.1,1.6,2.3,0.7,4.3,5.1,2.7,1.0,0.1,1.7,3.0,13.9
Chandler Hutchison,36.0,9.6,0.7,2.2,3.8,7.5,1.8,2.9,1.3,6.2,7.5,1.5,1.3,0.4,1.3,2.7,11.3
Chandler Parsons,36.0,12.6,2.0,5.6,3.6,7.2,1.6,2.2,0.5,4.7,5.1,3.3,1.1,0.5,1.9,2.6,14.8
Channing Frye,36.0,11.8,3.0,7.6,2.3,4.4,1.2,1.4,0.9,6.2,7.2,1.6,0.9,0.9,1.4,3.7,14.8
Charlie Villanueva,36.0,17.8,2.7,9.4,4.4,8.4,1.3,1.3,1.3,7.1,8.4,1.3,1.0,0.7,1.7,3.7,17.2
Chase Budinger,36.0,9.2,1.0,3.3,3.1,5.9,1.5,2.0,1.8,4.1,5.9,2.6,1.3,0.5,1.8,2.3,10.5
Chasson Randle,36.0,10.6,2.1,5.4,2.3,5.2,2.8,3.6,0.5,2.3,3.1,4.4,1.3,0.3,2.1,4.4,13.7
Cheick Diallo,36.0,11.1,0.0,0.0,6.6,11.1,2.4,3.3,3.0,9.6,12.6,1.2,0.9,1.2,1.8,4.5,15.9
Chimezie Metu,36.0,14.3,0.0,0.7,6.1,13.6,3.4,4.1,2.7,6.8,10.2,3.4,1.4,1.4,3.4,2.7,15.6
Chris Andersen,36.0,6.5,0.3,1.1,3.0,5.5,2.5,3.5,3.3,6.0,9.0,1.1,1.4,1.4,1.1,3.5,9.3
Chris Bosh,36.0,15.6,1.6,4.5,5.6,11.1,4.3,5.5,1.0,7.0,8.0,2.6,0.8,0.6,1.6,2.0,20.5
Chris Boucher,36.0,13.7,1.7,5.7,4.7,8.0,3.7,4.7,4.7,7.7,12.3,1.0,1.0,3.0,1.3,5.3,18.3
Chris Chiozza,36.0,12.2,2.3,6.4,2.3,5.8,0.3,0.3,0.9,3.8,4.6,7.3,1.7,0.3,2.6,3.2,12.2
Chris Clemons,36.0,17.6,4.5,13.1,2.5,4.5,1.2,1.2,0.4,3.3,3.7,3.3,1.2,0.8,2.5,3.3,20.0
Chris Johnson,36.0,8.3,1.2,4.1,1.8,4.1,1.5,1.8,1.2,4.4,5.6,1.8,1.5,0.9,1.8,4.1,8.6
Chris McCullough,36.0,12.4,1.2,3.2,4.4,9.2,1.6,2.8,2.8,4.8,7.6,1.2,2.0,1.2,1.2,3.6,13.2
Chris Paul,36.0,15.1,2.3,5.9,4.7,9.3,4.1,4.5,0.7,4.7,5.4,9.5,2.0,0.2,2.7,2.7,20.3
Chris Silva,36.0,8.2,0.0,0.5,5.0,7.7,3.6,5.5,6.4,6.8,13.2,2.3,0.9,2.3,3.2,8.7,13.7
Christian Wood,36.0,13.8,1.3,3.6,6.2,10.2,4.9,6.7,2.9,7.8,10.7,1.3,0.9,1.6,2.2,2.7,21.1
Clint Capela,36.0,11.6,0.0,0.0,7.3,11.6,2.3,4.2,4.6,8.9,13.5,1.3,0.9,2.0,1.8,3.5,17.0
Coby White,36.0,17.0,2.8,8.1,3.9,8.9,2.2,2.8,0.6,4.3,4.9,3.8,1.1,0.1,2.4,2.5,18.4
Cody Martin,36.0,8.2,0.8,3.1,2.9,5.2,1.7,2.7,1.5,4.8,6.3,3.8,1.5,0.4,1.7,3.1,9.6
Cody Zeller,36.0,10.0,0.1,0.6,5.3,9.4,3.2,4.4,3.2,6.3,9.6,2.1,1.2,1.2,1.6,4.1,14.2
Cole Aldrich,36.0,8.5,0.0,0.0,4.8,8.5,1.9,3.0,3.7,8.2,11.9,1.9,1.9,2.2,2.2,5.9,11.5
Collin Sexton,36.0,17.4,1.7,4.1,6.2,13.2,3.3,4.0,0.9,2.5,3.3,3.3,0.8,0.1,2.6,2.5,20.6
Corey Brewer,36.0,10.3,1.0,3.8,3.3,6.5,1.9,2.7,1.0,3.6,4.6,2.3,2.1,0.4,1.5,4.0,11.5
Cory Joseph,36.0,10.0,0.8,2.7,3.4,7.3,1.4,1.8,0.7,3.4,4.2,4.8,1.3,0.3,1.7,2.4,10.9
Courtney Lee,36.0,10.6,1.6,4.0,3.2,6.6,1.5,1.7,0.5,2.9,3.6,2.5,1.3,0.4,1.2,2.0,12.6
Cristiano Felicio,36.0,7.8,0.0,0.2,4.4,7.5,2.2,3.2,3.9,6.1,10.0,1.7,0.7,0.5,1.5,3.6,10.9
D'Angelo Russell,36.0,19.0,3.0,8.2,5.1,10.8,2.7,3.6,0.7,3.8,4.6,6.6,1.4,0.2,3.6,2.4,21.7
DJ Augustin,36.0,11.2,2.2,5.5,2.6,5.8,3.3,3.9,0.5,2.5,3.1,6.1,0.9,0.0,2.2,2.0,15.0
DJ Wilson,36.0,10.8,1.8,5.6,2.6,5.3,1.2,1.8,1.8,7.3,8.8,2.0,0.6,0.6,1.5,3.5,12.0
Dakari Johnson,36.0,9.0,0.0,0.0,4.8,9.0,2.8,4.2,3.5,4.2,7.6,2.1,1.4,2.1,0.7,6.2,12.5
Damian Jones,36.0,7.1,0.0,0.3,4.6,6.9,2.3,3.3,2.8,4.9,7.9,1.5,1.0,1.8,1.3,5.9,11.7
Damian Lillard,36.0,19.6,3.2,8.5,5.5,11.1,6.3,7.0,0.7,3.8,4.5,6.8,1.0,0.4,2.8,1.9,26.8
Damion Lee,36.0,12.9,2.0,6.0,3.3,6.9,2.5,2.8,0.8,5.3,6.1,2.8,1.4,0.2,1.6,2.8,15.4
Damjan Rudez,36.0,9.0,2.4,7.1,0.9,2.4,0.5,0.5,0.5,1.9,2.8,1.9,0.9,0.0,1.4,3.8,9.5
Damyean Dotson,36.0,12.5,2.3,6.3,3.0,6.3,1.3,1.6,0.5,4.1,4.7,2.5,1.1,0.2,1.3,2.3,14.0
Daniel Gafford,36.0,7.9,0.0,0.0,5.6,7.9,1.8,3.5,3.0,3.3,6.3,1.3,0.8,3.3,1.8,5.8,12.9
Daniel Theis,36.0,9.8,0.8,2.2,4.7,7.4,2.2,2.9,3.3,6.3,9.8,2.5,1.0,1.8,1.4,5.7,13.7
Danilo Gallinari,36.0,14.4,2.5,6.3,3.8,8.1,6.1,6.8,0.8,5.3,6.1,2.6,0.8,0.3,1.5,1.8,21.2
Danny Green,36.0,10.0,2.5,6.6,1.6,3.6,0.7,0.8,0.8,4.1,4.9,2.2,1.4,1.1,1.4,2.6,11.4
Dante Cunningham,36.0,7.7,1.3,3.5,2.3,4.2,0.7,1.0,1.3,4.5,5.8,1.2,0.8,0.7,0.7,2.7,9.0
Dante Exum,36.0,11.3,1.1,3.7,3.7,7.4,2.6,3.3,0.9,3.3,4.1,4.1,0.9,0.4,2.6,3.7,13.4
Danuel House,36.0,10.0,2.3,6.5,2.1,3.6,1.6,2.1,1.1,4.3,5.2,1.6,1.1,0.5,1.1,2.6,12.9
Dario Saric,36.0,13.6,2.0,5.7,3.9,7.7,2.6,3.1,2.2,6.2,8.4,2.9,0.8,0.3,2.3,3.0,16.6
Darius Bazley,36.0,10.1,1.6,4.5,2.3,5.6,1.4,1.9,1.0,6.8,7.8,1.4,0.8,1.4,1.4,1.8,10.9
Darius Garland,36.0,13.7,2.1,5.8,3.5,7.9,1.3,1.4,0.6,1.6,2.2,4.5,0.8,0.1,3.0,1.9,14.3
Darius Miller,36.0,9.4,2.8,7.1,1.2,2.4,1.2,1.3,0.3,2.5,2.8,2.5,0.7,0.4,1.2,3.2,11.8
Darrell Arthur,36.0,11.8,1.6,4.1,3.7,7.7,1.0,1.2,1.8,4.9,6.5,2.2,1.2,1.2,1.8,4.5,13.2
Darren Collison,36.0,11.9,1.5,3.4,4.3,8.6,2.7,3.1,0.5,2.6,3.1,6.2,1.5,0.1,2.0,2.2,15.6
Darrun Hilliard,36.0,11.5,1.1,4.2,3.1,7.3,2.3,3.1,0.4,3.4,3.4,3.1,0.8,0.0,2.3,3.1,12.3
David Lee,36.0,11.3,0.0,0.0,6.5,11.3,2.2,3.0,3.8,7.5,11.3,3.2,0.8,1.0,2.2,3.6,15.2
David Nwaba,36.0,9.1,0.5,1.8,3.9,7.4,2.6,3.9,1.8,4.7,6.5,1.9,1.2,0.7,1.4,3.7,12.1
David West,36.0,11.8,0.0,0.2,6.5,11.6,1.9,2.4,1.9,6.3,8.2,4.8,1.4,1.9,2.4,4.1,15.0
Davis Bertans,36.0,11.8,3.7,8.7,1.5,3.1,1.5,1.9,0.8,4.6,5.4,2.1,0.8,0.8,1.2,3.1,15.5
Davon Reed,36.0,10.8,1.5,5.4,1.9,5.8,1.2,1.5,0.4,5.0,5.8,1.9,1.5,0.4,1.5,2.3,9.3
De'Aaron Fox,36.0,15.7,1.1,3.3,6.1,12.5,3.9,5.6,0.6,3.4,4.0,7.2,1.7,0.5,3.2,3.0,19.2
De'Andre Hunter,36.0,12.2,1.9,5.4,3.0,6.8,1.9,2.6,0.8,4.3,5.1,2.0,0.8,0.3,1.8,3.3,13.8
De'Anthony Melton,36.0,11.0,1.1,3.9,3.1,7.0,1.8,2.6,1.1,4.8,5.9,5.5,2.4,0.7,2.6,3.7,11.8
DeAndre Jordan,36.0,8.0,0.0,0.0,5.4,7.9,3.1,5.7,4.2,11.8,16.0,1.9,0.7,1.7,1.9,3.0,13.8
DeAndre Liggins,36.0,6.0,0.9,2.3,1.4,3.5,0.6,1.2,0.6,3.7,4.3,2.3,2.0,0.6,1.4,4.0,6.0
DeAndre' Bembry,36.0,10.6,0.7,2.8,3.9,7.6,1.3,2.2,1.1,5.2,6.3,3.5,1.9,0.7,2.6,3.3,11.5
DeMar DeRozan,36.0,18.4,0.5,1.8,8.1,16.6,6.3,7.5,0.8,4.3,5.2,5.2,1.1,0.3,2.5,2.2,24.1
DeMarcus Cousins,36.0,19.9,1.6,4.8,7.5,15.1,7.0,9.3,2.2,9.8,12.0,4.5,1.6,1.5,4.2,4.0,26.9
DeMarre Carroll,36.0,11.9,2.2,6.2,2.6,5.7,2.8,3.7,1.5,5.2,6.8,1.9,1.2,0.4,1.4,2.8,14.5
Deandre Ayton,36.0,15.1,0.0,0.2,8.6,14.9,2.2,3.0,3.9,8.4,12.3,2.1,0.9,1.3,2.2,3.4,19.5
Dejounte Murray,36.0,13.1,0.5,1.6,5.3,11.5,2.1,2.8,1.8,6.7,8.5,5.3,2.1,0.5,2.8,3.0,14.4
Delon Wright,36.0,10.7,1.1,3.3,3.6,7.5,2.4,3.1,1.5,4.2,5.6,5.3,1.8,0.7,1.8,2.2,13.3
Dennis Schroder,36.0,17.9,1.8,5.1,6.1,12.8,3.3,3.9,0.6,3.4,4.1,6.3,1.1,0.3,3.3,2.7,20.7
Dennis Smith,36.0,16.6,1.6,5.4,4.9,11.3,2.3,3.6,1.0,3.4,4.4,6.2,1.5,0.4,3.6,3.0,17.2
Denzel Valentine,36.0,12.6,2.6,7.2,2.4,5.3,0.5,0.9,0.7,5.5,6.2,3.6,1.2,0.2,1.7,3.3,13.4
Deonte Burton,36.0,12.4,1.3,4.7,3.4,7.7,0.9,1.7,0.9,4.3,5.1,1.7,0.9,1.3,1.7,3.9,11.1
Deron Williams,36.0,13.2,1.7,4.9,3.8,8.3,2.6,3.0,0.4,3.0,3.2,7.0,0.9,0.2,2.7,2.8,15.5
Derrick Favors,36.0,12.4,0.1,0.7,6.7,11.7,2.5,3.8,3.5,6.8,10.5,1.8,1.1,1.6,1.6,3.0,16.4
Derrick Jones,36.0,9.3,0.7,2.8,3.9,6.5,2.4,3.3,2.4,4.1,6.5,1.3,1.3,1.1,0.9,3.7,12.4
Derrick Rose,36.0,18.3,0.8,2.7,7.7,15.7,3.3,3.8,0.9,2.9,3.8,5.6,0.8,0.3,2.8,1.4,21.1
Derrick Walton,36.0,5.7,1.5,3.8,0.8,1.9,1.1,1.5,0.4,2.7,3.1,3.8,1.1,0.4,0.8,2.7,7.7
Derrick White,36.0,11.4,1.4,3.7,4.0,7.7,2.9,3.6,0.8,4.3,5.1,5.3,1.2,1.1,2.0,3.1,15.1
Derrick Williams,36.0,13.1,1.3,4.0,4.7,9.1,4.0,5.5,1.1,5.7,6.8,1.7,0.6,0.2,1.5,2.1,16.9
Devin Booker,36.0,18.5,2.1,5.9,6.2,12.6,5.5,6.2,0.5,3.3,3.9,5.1,0.9,0.3,3.5,3.3,24.2
Devin Harris,36.0,11.5,1.8,5.7,2.8,5.7,3.4,4.2,0.4,3.4,3.8,4.0,1.4,0.4,2.0,3.8,14.8
Devonte' Graham,36.0,14.7,3.1,8.8,2.3,5.8,2.9,3.5,0.7,2.7,3.4,7.3,1.1,0.3,2.6,2.0,17.0
Dewayne Dedmon,36.0,10.3,0.9,2.8,4.4,7.3,1.8,2.4,2.8,9.0,11.8,1.7,1.1,1.7,2.0,4.8,13.4
Deyonta Davis,36.0,9.2,0.0,0.0,5.7,9.2,1.5,2.4,3.0,6.8,9.5,1.2,0.6,1.8,1.2,5.1,12.5
Dillon Brooks,36.0,14.7,1.9,5.3,4.3,9.4,2.3,3.0,0.9,3.0,4.0,2.2,1.0,0.4,1.9,4.2,16.6
Dion Waiters,36.0,14.6,2.2,5.9,3.9,8.6,1.8,2.6,0.4,3.1,3.6,3.7,1.2,0.4,2.3,2.5,15.9
Dirk Nowitzki,36.0,16.3,2.3,6.1,4.9,10.1,2.7,3.0,0.6,7.4,8.0,2.0,0.7,0.9,1.1,2.7,19.1
Domantas Sabonis,36.0,12.9,0.4,1.4,6.3,11.7,3.1,4.2,2.8,8.4,11.2,3.7,0.8,0.6,2.7,4.1,17.0
Donald Sloan,36.0,9.5,1.0,2.7,3.2,6.8,2.2,2.8,0.5,4.3,4.7,7.3,0.8,0.2,2.2,2.0,11.7
Donatas Motiejunas,36.0,12.1,1.0,3.6,4.4,8.5,2.1,3.6,2.3,5.1,7.5,2.6,1.3,0.5,2.8,4.6,13.4
Donovan Mitchell,36.0,20.0,2.6,7.3,6.2,12.8,3.9,4.8,0.7,3.5,4.4,4.3,1.4,0.3,2.9,2.8,24.2
Donte DiVincenzo,36.0,11.8,1.9,6.1,3.3,5.7,1.4,1.9,1.6,5.5,7.1,3.5,1.9,0.5,2.1,2.8,13.8
Dorian Finney-Smith,36.0,8.7,1.6,4.7,2.2,4.0,1.2,1.6,2.1,4.3,6.3,1.8,1.0,0.6,1.2,3.1,10.2
Doug McDermott,36.0,12.0,2.2,5.5,3.4,6.5,1.5,1.7,0.7,3.3,3.9,1.5,0.3,0.2,1.0,2.6,14.9
Dragan Bender,36.0,9.0,1.8,5.4,1.8,3.6,0.9,1.3,1.1,5.7,7.0,2.3,0.5,1.1,2.0,3.6,9.7
Draymond Green,36.0,9.4,1.1,3.6,3.1,5.8,2.1,2.9,1.3,7.5,8.8,7.8,1.8,1.3,3.0,3.1,11.6
Drew Eubanks,36.0,8.8,0.0,0.0,5.4,8.4,2.9,3.8,3.3,8.0,10.9,2.1,0.8,2.1,2.5,4.6,13.8
Duncan Robinson,36.0,11.3,4.4,10.0,1.0,1.4,1.1,1.2,0.1,3.7,4.0,1.6,0.7,0.3,1.1,3.1,16.0
Dwayne Bacon,36.0,11.5,1.1,3.4,3.6,8.3,1.6,2.0,0.5,4.7,5.2,2.2,0.9,0.2,1.4,2.9,11.9
Dwight Howard,36.0,10.5,0.0,0.1,6.5,10.5,4.0,7.4,4.1,10.2,14.3,1.5,0.9,1.8,2.7,4.0,16.8
Dwight Powell,36.0,9.7,0.6,1.8,5.0,7.9,3.3,4.4,2.8,6.1,9.0,1.8,1.3,0.9,1.3,4.0,14.9
Dwyane Wade,36.0,18.1,0.8,2.8,7.2,15.5,4.1,5.4,1.3,4.1,5.4,5.3,1.3,0.8,3.2,2.2,20.9
Dzanan Musa,36.0,13.5,1.3,6.1,3.7,7.4,3.0,4.4,1.3,4.7,6.4,3.0,1.0,0.0,2.7,2.0,14.5
E'Twaun Moore,36.0,12.4,1.7,4.3,4.1,8.1,0.9,1.3,0.7,2.7,3.4,2.9,1.0,0.4,1.4,2.7,14.4
Ed Davis,36.0,7.2,0.0,0.0,4.2,7.2,2.2,3.6,4.8,9.3,14.1,1.4,1.0,1.2,1.6,5.2,10.5
Edmond Sumner,36.0,11.4,1.2,4.5,3.3,6.9,1.8,3.0,1.2,2.7,3.9,3.6,1.5,0.9,1.8,3.9,12.0
Ekpe Udoh,36.0,6.2,0.0,0.0,3.6,6.2,1.8,2.9,2.9,4.7,7.6,2.5,1.8,3.3,1.1,4.4,9.1
Elfrid Payton,36.0,12.9,0.6,2.1,5.3,10.8,1.9,3.0,1.4,4.2,5.4,8.3,1.5,0.5,3.0,2.6,14.2
Elie Okobo,36.0,10.2,1.4,4.4,2.6,5.8,1.9,2.6,0.7,3.5,3.9,5.1,1.2,0.2,2.3,3.5,11.1
Emmanuel Mudiay,36.0,15.4,1.4,4.2,4.8,11.0,2.9,3.9,0.8,3.8,4.4,5.7,1.1,0.5,3.3,2.4,16.6
Enes Kanter,36.0,14.9,0.2,0.5,8.3,14.6,3.8,4.7,5.2,8.8,14.1,1.8,0.7,0.8,2.5,3.6,20.8
Eric Bledsoe,36.0,15.9,1.8,5.3,5.5,10.6,4.2,5.3,0.9,4.2,5.2,6.6,1.8,0.6,3.3,2.7,20.8
Eric Gordon,36.0,15.5,3.5,9.7,2.9,5.8,2.5,3.1,0.3,2.3,2.8,2.5,0.8,0.5,1.8,2.3,18.8
Eric Moreland,36.0,5.5,0.0,0.0,2.9,5.5,0.6,1.3,3.5,9.0,12.5,3.2,1.3,2.2,1.9,5.1,6.4
Eric Paschall,36.0,14.0,0.8,2.9,6.1,11.1,3.5,4.6,1.8,4.2,6.0,2.7,0.7,0.3,2.1,2.7,18.3
Ersan Ilyasova,36.0,13.0,1.9,5.5,3.7,7.4,2.2,3.1,2.4,6.1,8.5,1.8,1.0,0.5,1.6,3.7,15.6
Evan Fournier,36.0,14.9,2.4,6.3,4.4,8.6,2.8,3.5,0.4,2.8,3.4,3.5,1.1,0.1,2.0,2.9,18.6
Evan Turner,36.0,10.9,0.4,1.7,4.4,9.2,1.9,2.3,0.7,5.0,5.8,4.8,1.0,0.4,2.3,2.5,12.1
Festus Ezeli,36.0,10.8,0.0,0.0,5.8,10.8,3.2,6.3,4.3,7.8,12.1,1.5,0.9,2.4,1.7,4.3,15.1
Frank Jackson,36.0,14.3,1.8,5.7,4.2,8.6,2.0,2.6,0.9,3.1,4.0,2.4,0.9,0.0,1.8,3.1,15.8
Frank Kaminsky,36.0,13.5,2.0,5.6,3.8,7.9,2.6,3.6,1.3,5.4,6.6,2.6,0.8,0.7,1.5,2.6,16.1
Frank Mason,36.0,14.2,1.2,3.9,4.4,10.0,3.3,4.4,0.9,3.5,4.4,6.0,1.4,0.5,2.6,2.8,15.8
Frank Ntilikina,36.0,10.6,1.2,3.9,2.7,6.8,1.2,1.5,0.7,3.0,3.7,5.2,1.4,0.5,2.4,4.1,10.1
Fred VanVleet,36.0,13.3,2.4,6.4,3.0,7.0,2.4,2.9,0.5,3.5,3.9,6.2,1.5,0.5,2.0,2.7,15.9
Furkan Korkmaz,36.0,12.9,3.1,8.1,2.3,5.0,1.9,2.3,0.6,4.0,4.4,2.1,1.0,0.2,1.2,2.7,15.6
Garrett Temple,36.0,9.9,1.9,5.4,2.1,4.6,1.4,1.9,0.6,3.3,3.9,2.8,1.4,0.6,1.4,3.2,11.3
Gary Clark,36.0,8.6,2.5,7.5,0.8,1.1,0.6,0.6,1.9,5.0,6.6,1.1,0.8,1.4,0.6,2.8,9.1
Gary Harris,36.0,12.6,1.9,5.1,4.0,7.5,1.9,2.4,0.8,2.5,3.3,2.7,1.5,0.2,1.5,2.2,15.4
Gary Neal,36.0,14.5,1.8,4.4,4.8,10.1,2.2,2.6,0.6,3.1,3.7,2.0,0.9,0.0,1.3,2.4,17.3
Gary Payton,36.0,10.3,0.9,3.7,3.1,6.6,0.6,1.1,2.0,4.6,6.6,4.0,2.3,0.6,1.7,4.6,10.0
Gary Trent,36.0,12.3,2.8,7.2,2.3,5.1,0.9,1.3,0.6,2.1,2.8,1.7,1.1,0.4,0.6,2.3,14.4
George Hill,36.0,11.0,1.8,4.6,3.3,6.4,2.2,2.9,0.9,3.3,4.1,4.1,1.2,0.3,1.6,2.5,14.5
Georges Niang,36.0,12.6,3.2,7.9,2.5,4.7,1.1,1.1,0.7,4.7,5.4,2.2,0.7,0.4,1.4,3.2,15.1
Georgios Papagiannis,36.0,10.9,0.0,0.3,5.6,10.6,0.9,1.2,2.7,6.5,9.4,2.1,0.6,1.8,2.4,4.1,12.1
Gerald Green,36.0,14.5,3.1,8.8,2.8,5.5,1.7,2.0,0.7,3.9,4.4,1.3,0.9,0.6,1.3,3.1,16.3
Gerald Henderson,36.0,12.6,1.3,3.5,4.2,9.0,2.8,3.7,0.7,3.9,4.7,2.2,0.8,0.3,1.5,2.5,14.9
Giannis Antetokounmpo,36.0,17.4,0.7,2.6,8.7,14.8,6.1,8.4,2.0,8.8,10.8,5.5,1.4,1.6,3.3,3.3,25.7
Glenn Robinson,36.0,10.4,1.3,3.4,3.4,6.8,1.5,1.9,1.3,4.0,5.3,1.5,1.1,0.4,0.9,1.9,12.3
Goga Bitadze,36.0,11.6,0.4,3.3,4.6,8.3,1.7,2.5,2.1,6.2,8.3,1.7,0.8,2.9,2.1,5.0,13.2
Goran Dragic,36.0,15.4,1.7,4.7,5.3,10.7,3.3,4.3,0.8,3.5,4.3,6.1,1.0,0.2,2.9,2.9,19.1
Gordon Hayward,36.0,14.8,1.8,5.0,5.0,9.8,4.1,5.0,0.9,5.0,5.9,4.0,1.1,0.3,2.2,2.0,19.7
Gorgui Dieng,36.0,10.2,0.5,1.5,4.6,8.8,2.5,3.1,2.6,7.1,9.7,2.3,1.5,1.5,1.8,3.8,13.2
Grant Williams,36.0,7.4,0.7,3.3,2.1,4.1,1.4,1.9,2.1,4.1,6.2,2.4,1.0,1.2,1.7,5.7,8.1
Grayson Allen,36.0,13.5,2.9,7.7,2.9,6.0,2.7,3.4,0.2,3.1,3.4,2.4,0.5,0.2,2.2,3.1,17.2
Greg Monroe,36.0,14.2,0.0,0.0,7.6,14.2,3.4,4.7,3.6,7.6,11.1,3.2,1.5,0.8,2.6,3.1,18.6
Guerschon Yabusele,36.0,10.4,1.6,4.9,2.7,5.5,2.2,3.3,2.7,4.9,7.6,2.2,1.1,1.1,2.2,3.8,12.5
Hamidou Diallo,36.0,11.8,0.5,2.0,4.7,9.6,2.0,3.2,2.0,4.7,6.6,1.2,1.5,0.5,2.0,4.4,12.7
Harrison Barnes,36.0,14.2,1.6,4.3,4.8,9.9,3.0,3.6,1.1,4.4,5.4,1.9,0.7,0.2,1.3,1.6,17.4
Harry Giles,36.0,14.6,0.0,0.3,7.6,14.3,2.3,3.3,2.5,7.3,9.8,3.5,1.3,1.0,2.8,6.5,17.6
Hassan Whiteside,36.0,13.4,0.0,0.1,7.8,13.4,3.1,5.0,4.6,11.5,16.0,1.0,0.8,3.2,2.2,3.6,18.8
Henry Ellenson,36.0,15.3,2.3,6.7,3.5,8.6,2.3,3.1,1.2,8.2,9.4,2.0,0.8,0.0,2.0,2.7,15.7
Hollis Thompson,36.0,10.9,2.2,6.1,2.0,4.9,1.2,1.6,0.9,3.9,4.8,1.6,0.7,0.4,1.0,3.2,11.9
Ian Clark,36.0,13.2,1.9,5.5,3.8,7.4,1.2,1.7,0.5,3.1,3.6,3.1,1.0,0.2,1.9,3.1,14.9
Ian Mahinmi,36.0,8.4,0.0,0.4,4.5,8.1,2.8,4.5,3.4,6.6,9.8,1.9,1.5,1.5,2.2,5.4,12.2
Iman Shumpert,36.0,9.3,1.6,5.1,2.0,4.2,1.0,1.4,0.8,3.9,4.6,2.4,1.4,0.4,1.5,3.0,10.0
Isaac Bonga,36.0,6.9,0.7,2.1,2.5,4.8,2.1,2.5,2.1,4.4,6.5,2.3,1.4,0.7,1.6,4.4,9.2
Isaiah Briscoe,36.0,8.8,0.8,2.3,2.8,6.8,1.0,1.8,0.3,4.5,4.8,5.5,0.8,0.3,2.0,4.3,8.8
Isaiah Canaan,36.0,11.9,2.5,7.5,1.8,4.5,2.5,2.8,0.3,2.8,3.3,3.3,1.2,0.2,1.8,2.5,13.8
Isaiah Hartenstein,36.0,8.0,0.0,0.8,4.5,7.2,2.3,3.0,3.8,6.4,10.2,2.3,1.1,1.9,2.3,7.2,11.7
Isaiah Taylor,36.0,11.7,0.6,2.5,4.2,9.2,2.9,4.2,0.6,2.1,2.9,6.1,1.0,0.4,2.5,3.6,13.2
Isaiah Thomas,36.0,19.0,2.8,7.6,5.5,11.4,6.3,7.2,0.6,2.4,3.0,6.4,1.0,0.1,3.2,2.4,25.5
Isaiah Whitehead,36.0,11.8,1.1,3.3,3.9,8.4,2.1,2.6,0.7,3.5,4.2,4.2,1.1,0.7,3.3,3.9,12.6
Ish Smith,36.0,14.4,0.8,2.7,5.5,11.7,1.6,2.1,0.6,3.8,4.4,7.1,1.1,0.4,2.1,2.4,15.0
Ivan Rabb,36.0,10.6,0.0,0.5,5.7,10.1,2.2,3.0,3.5,6.9,10.6,2.5,0.7,0.7,2.0,4.2,14.1
