,Name,Salary
79,Davis Bertans,"$16,000,000"
80,Gary Trent,"$16,000,000"
81,Lauri Markkanen,"$15,690,909"
82,Marcus Morris,"$15,627,907"
83,Duncan Robinson,"$15,560,000"
84,Norman Powell,"$15,517,242"
85,Dejounte Murray,"$15,428,571"
86,Will Barton,"$15,384,615"
87,Derrick White,"$15,178,571"
88,Taurean Prince,"$15,057,692"
89,Malik Beasley,"$14,391,964"
90,Marcus Smart,"$14,339,285"
91,Patrick Beverley,"$14,320,988"
92,Thaddeus Young,"$14,190,000"
93,Jonas Valanciunas,"$14,000,000"
94,Joe Ingles,"$14,000,000"
95,Doug McDermott,"$13,750,000"
96,Christian Wood,"$13,666,667"
97,Derrick Rose,"$13,445,120"
98,Brook Lopez,"$13,302,325"
99,Kentavious Caldwell-Pope,"$13,038,862"
100,Kyle Kuzma,"$13,000,000"
101,Robert Covington,"$12,975,471"
102,Luke Kennard,"$12,727,273"
103,TJ Warren,"$12,690,000"
104,Deandre Ayton,"$12,632,950"
105,Terrence Ross,"$12,500,000"
106,Jordan Clarkson,"$12,420,000"
107,Dillon Brooks,"$12,200,000"
108,Kelly Olynyk,"$12,195,122"
109,Kelly Oubre,"$12,000,000"
110,Josh Hart,"$12,000,000"
111,Jusuf Nurkic,"$12,000,000"
112,Josh Richardson,"$11,615,328"
113,Marvin Bagley,"$11,312,114"
114,Devonte' Graham,"$11,000,000"
115,Dwight Powell,"$11,000,000"
116,Zion Williamson,"$10,733,400"
117,Larry Nance,"$10,690,909"
118,Jeremy Lamb,"$10,500,000"
119,Richaun Holmes,"$10,384,500"
120,Reggie Jackson,"$10,384,500"
121,Anthony Edwards,"$10,245,480"
122,Luka Doncic,"$10,174,391"
123,Cade Cunningham,"$10,050,120"
124,Tomas Satoransky,"$10,468,119"
125,Danny Green,"$10,000,000"
126,Kyle Anderson,"$9,937,150"
127,Serge Ibaka,"$9,742,000"
128,Jae Crowder,"$9,720,900"
129,Derrick Favors,"$9,720,900"
130,Tristan Thompson,"$10,720,900"
131,Montrezl Harrell,"$9,720,900"
132,Derrick Jones,"$9,720,900"
133,Ja Morant,"$9,603,360"
134,Reggie Bullock,"$9,536,000"
135,Alec Burks,"$9,536,000"
136,Talen Horton-Tucker,"$9,500,000"
137,Jaren Jackson,"$9,180,560"
138,James Wiseman,"$9,166,800"
139,Nicolas Batum,"$12,213,507"
140,Dario Saric,"$9,000,000"
141,Jalen Green,"$8,992,200"
142,Nerlens Noel,"$8,800,000"
143,Jakob Poeltl,"$8,750,000"
144,Maxi Kleber,"$8,750,000"
145,Thomas Bryant,"$8,730,159"
146,Royce O'Neale,"$8,678,571"
147,RJ Barrett,"$8,623,920"
148,Alex Caruso,"$8,604,651"
149,Delon Wright,"$8,526,316"
150,De'Anthony Melton,"$8,437,500"
151,Daniel Theis,"$8,372,093"
152,Monte Morris,"$8,333,333"
153,Trae Young,"$8,326,471"
154,JaMychal Green,"$8,292,683"
155,LaMelo Ball,"$8,231,760"
156,Seth Curry,"$8,186,047"
157,Mason Plumlee,"$8,137,500"
158,Evan Mobley,"$8,075,160"
159,Cedi Osman,"$8,050,000"
160,DeAndre Jordan,"$11,109,327"
161,De'Andre Hunter,"$7,775,400"
162,Mo Bamba,"$7,568,742"
163,Tyus Jones,"$7,522,200"
164,Ivica Zubac,"$7,518,518"
165,TJ McConnell,"$7,500,000"
166,Patrick Williams,"$7,422,000"
167,Scottie Barnes,"$7,280,520"
168,Darius Garland,"$7,040,880"
169,Chris Boucher,"$7,009,615"
170,DJ Augustin,"$7,622,467"
171,PJ Tucker,"$7,000,000"
172,Zach Collins,"$6,984,127"
173,Wendell Carter,"$6,920,027"
174,Isaac Okoro,"$6,720,720"
175,Jalen Suggs,"$6,593,040"
176,Cameron Payne,"$6,500,000"
177,Joakim Noah,"$6,431,666"
178,Jarrett Culver,"$6,395,160"
179,Khem Birch,"$6,350,000"
180,Collin Sexton,"$6,349,671"
181,Juancho Hernangomez,"$6,175,440"
182,Onyeka Okongwu,"$6,104,280"
183,Justin Holiday,"$6,006,420"
184,Josh Giddey,"$5,988,000"
185,Rudy Gay,"$5,890,000"
186,Dennis Schroder,"$5,890,000"
187,Patty Mills,"$5,890,000"
188,Kevin Knox,"$5,845,978"
189,Coby White,"$5,837,760"
190,Timofey Mozgov,"$5,573,334"
191,Killian Hayes,"$5,572,680"
192,Mikal Bridges,"$5,557,725"
193,Shai Gilgeous-Alexander,"$5,495,532"
194,Jonathan Kuminga,"$5,466,360"
195,Miles Bridges,"$5,421,493"
196,Jaxson Hayes,"$5,348,280"
197,Pat Connaughton,"$5,333,333"
198,Michael Porter,"$5,258,735"
199,Ryan Anderson,"$5,214,584"
200,Hamidou Diallo,"$5,200,000"
201,Kevon Looney,"$5,178,572"
202,Troy Brown,"$5,170,564"
203,Obi Toppin,"$5,105,160"
204,Franz Wagner,"$5,007,840"
205,Josh Jackson,"$5,005,350"
206,JaVale McGee,"$5,000,000"
207,Robin Lopez,"$5,000,000"
208,Kendrick Nunn,"$5,000,000"
209,Lou Williams,"$5,000,000"
210,Luol Deng,"$4,990,000"
211,Rui Hachimura,"$4,916,160"
212,Garrett Temple,"$4,910,000"
213,Cory Joseph,"$7,310,000"
214,Taj Gibson,"$4,910,000"
215,Torrey Craig,"$4,878,049"
216,Rajon Rondo,"$2,641,691"
217,Bruce Brown,"$4,736,102"
218,Deni Avdija,"$4,692,840"
219,Donte DiVincenzo,"$4,675,830"
220,Cam Reddish,"$4,670,160"
221,David Nwaba,"$4,650,000"
222,Furkan Korkmaz,"$4,629,630"
223,Davion Mitchell,"$4,603,320"
224,Ish Smith,"$4,500,000"
225,Jeff Green,"$4,500,000"
226,Jalen Smith,"$4,458,000"
227,Lonnie Walker IV,"$4,447,896"
228,Cameron Johnson,"$4,437,000"
229,Ziaire Williams,"$4,373,160"
230,Maurice Harkless,"$4,347,600"
231,Bobby Portis,"$4,347,600"
232,Jarred Vanderbilt,"$4,259,259"
233,Kevin Huerter,"$4,253,357"
234,Devin Vassell,"$4,235,160"
235,PJ Washington,"$4,215,120"
236,James Bouknight,"$4,154,400"
237,Josh Okogie,"$4,087,904"
238,Grayson Allen,"$4,054,695"
239,Tyrese Haliburton,"$4,023,600"
240,Tyler Herro,"$4,004,280"
241,Dorian Finney-Smith,"$4,000,000"
242,Terence Davis,"$4,000,000"
243,George Hill,"$4,000,000"
244,Gorgui Dieng,"$4,000,000"
245,Aaron Holiday,"$3,980,551"
246,Joshua Primo,"$3,946,800"
247,Jake Layman,"$3,940,184"
248,Anfernee Simons,"$3,938,818"
249,Justise Winslow,"$3,902,439"
250,Kira Lewis,"$3,822,240"
251,Romeo Langford,"$3,804,360"
252,Facundo Campazzo,"$3,804,150"
253,Landry Shamet,"$3,768,342"
254,Chris Duarte,"$3,749,520"
255,Alex Len,"$3,731,707"
256,Robert Williams,"$3,661,976"
257,Jevon Carter,"$4,107,149"
258,Aaron Nesmith,"$3,631,200"
259,Moses Moody,"$3,562,080"
260,Boban Marjanovic,"$3,500,000"
261,Mike Muscala,"$3,500,000"
262,Cole Anthony,"$3,449,400"
263,Corey Kispert,"$3,383,640"
264,Trey Burke,"$3,333,333"
265,Georges Niang,"$3,300,000"
266,Chuma Okeke,"$3,277,080"
267,Isaiah Stewart,"$3,277,080"
268,Nickeil Alexander-Walker,"$3,261,480"
269,Alperen Sengun,"$3,214,680"
270,Jon Leuer,"$3,169,347"
271,Aleksej Pokusevski,"$3,113,160"
272,Goga Bitadze,"$3,098,400"
273,Trey Murphy,"$3,053,760"
274,Sterling Brown,"$3,000,000"
275,Michael Carter-Williams,"$3,000,000"
276,Frank Jackson,"$3,000,000"
277,Josh Green,"$2,957,520"
278,Tre Mann,"$2,901,240"
279,Dewayne Dedmon,"$5,256,308"
280,Andrew Nicholson,"$2,844,429"
281,Matisse Thybulle,"$2,840,160"
282,Saddiq Bey,"$2,824,320"
283,Kai Jones,"$2,770,560"
284,Brandon Clarke,"$2,726,880"
285,Precious Achiuwa,"$2,711,280"
286,Jalen Johnson,"$2,659,560"
287,Paul Millsap,"$2,641,691"
288,E'Twaun Moore,"$2,641,691"
289,Udonis Haslem,"$2,641,691"
290,Markieff Morris,"$2,641,691"
291,Trevor Ariza,"$2,641,691"
292,Dwight Howard,"$2,641,691"
293,Wayne Ellington,"$2,641,691"
294,Carmelo Anthony,"$2,641,691"
295,Enes Freedom,"$2,641,691"
296,Andre Iguodala,"$2,641,691"
297,James Johnson,"$2,641,691"
298,LaMarcus Aldridge,"$2,641,691"
299,Avery Bradley,"$2,641,691"
300,Ed Davis,"$2,641,691"
301,Grant Williams,"$2,617,800"
302,Tyrese Maxey,"$2,602,920"
303,Keon Johnson,"$2,553,120"
304,Darius Bazley,"$2,513,040"
305,Trey Lyles,"$2,500,000"
306,Zeke Nnaji,"$2,498,760"
307,Isaiah Jackson,"$2,451,120"
308,Ty Jerome,"$2,412,840"
309,Hassan Whiteside,"$2,401,537"
310,Kent Bazemore,"$2,401,537"
311,Austin Rivers,"$2,401,537"
312,Andre Drummond,"$2,401,537"
313,Cody Zeller,"$2,389,641"
314,Ben McLemore,"$2,389,641"
315,Solomon Hill,"$2,389,641"
316,Tony Snell,"$2,389,641"
317,Victor Oladipo,"$2,389,641"
318,Otto Porter,"$2,389,641"
319,Leandro Bolmaro,"$2,353,320"
320,Usman Garuba,"$2,353,320"
321,Willy Hernangomez,"$2,327,220"
322,Nassir Little,"$2,316,240"
323,RJ Hampton,"$2,303,040"
324,Josh Christopher,"$2,259,240"
325,Monta Ellis,"$2,245,400"
326,Elfrid Payton,"$2,239,544"
327,Rodney Hood,"$2,239,544"
328,Dylan Windler,"$2,239,200"
329,Immanuel Quickley,"$2,210,640"
330,John Konchar,"$2,197,674"
331,Quentin Grimes,"$2,168,760"
332,Jordan Poole,"$2,161,440"
333,Bol Bol,"$2,161,152"
334,Keldon Johnson,"$2,145,720"
335,Payton Pritchard,"$2,137,440"
336,Kevin Porter,"$2,130,240"
337,Bones Hyland,"$2,096,880"
338,Raul Neto,"$2,089,448"
339,Frank Kaminsky,"$2,089,448"
340,Nemanja Bjelica,"$2,089,448"
341,Udoka Azubuike,"$2,075,880"
342,Jaden McDaniels,"$2,063,280"
343,Malachi Flynn,"$2,048,040"
344,Cam Thomas,"$2,036,280"
345,Desmond Bane,"$2,033,160"
346,Jaden Springer,"$2,023,800"
347,Day'Ron Sharpe,"$2,009,040"
348,Jeremiah Robinson-Earl,"$2,000,000"
349,Killian Tillie,"$2,000,000"
350,Abdel Nader,"$2,000,000"
351,Theo Maledon,"$2,000,000"
352,Kenrich Williams,"$2,000,000"
353,Santi Aldama,"$1,994,520"
354,Damian Jones,"$1,977,011"
355,Wesley Matthews,"$1,958,501"
356,Rodney McGruder,"$1,939,350"
357,DeAndre' Bembry,"$2,541,217"
358,Gary Payton,"$1,939,350"
359,Timothe Luwawu-Cabarrot,"$1,939,350"
360,PJ Dozier,"$1,910,860"
361,Damion Lee,"$1,910,860"
362,Larry Sanders,"$1,865,547"
363,Shake Milton,"$1,846,738"
364,Mitchell Robinson,"$1,802,057"
365,Jalen Brunson,"$1,802,057"
366,Dennis Smith,"$1,789,256"
367,Malik Monk,"$1,789,256"
368,Semi Ojeleye,"$1,789,256"
369,Frank Ntilikina,"$1,789,256"
370,Tony Bradley,"$1,789,256"
371,Didi Louzada,"$1,786,878"
372,Daniel Gafford,"$1,782,621"
373,Terance Mann,"$1,782,621"
374,Eric Paschall,"$1,782,621"
375,KZ Okpala,"$1,782,621"
376,Carsen Edwards,"$76,744"
377,Bruno Fernando,"$1,782,621"
378,Cody Martin,"$1,782,621"
379,Nic Claxton,"$1,782,621"
380,Luguentz Dort,"$1,782,621"
381,Isaiah Roby,"$1,782,621"
382,Jaylen Nowell,"$1,782,621"
383,Naz Reid,"$1,782,621"
384,Vlatko Cancar,"$1,782,621"
385,Dean Wade,"$1,782,621"
386,Jalen McDaniels,"$1,782,621"
387,Drew Eubanks,"$1,762,796"
388,Chimezie Metu,"$1,762,796"
389,Yuta Watanabe,"$1,762,769"
390,Svi Mykhailiuk,"$1,729,217"
391,Keita Bates-Diop,"$1,729,217"
392,Moritz Wagner,"$1,729,217"
393,Thanasis Antetokounmpo,"$1,729,217"
394,Isaac Bonga,"$1,729,217"
395,Isaiah Hartenstein,"$3,430,810"
396,Juan Toscano-Anderson,"$1,701,593"
397,Moses Brown,"$1,720,779"
398,Oshae Brissett,"$1,701,593"
399,Herbert Jones,"$1,700,000"
400,Gabriel Deck,"$1,690,507"
401,Jordan McLaughlin,"$1,669,178"
402,Javonte Green,"$1,669,178"
403,Max Strus,"$1,669,178"
404,Gabe Vincent,"$1,669,178"
405,Kevin Pangos,"$1,669,178"
406,Matt Thomas,"$1,669,178"
407,Vernon Carey,"$1,517,981"
408,Xavier Tillman,"$1,517,981"
409,Tyrell Terry,"$1,517,981"
410,Tre Jones,"$1,517,981"
411,Robert Woodard,"$1,517,981"
412,Jahmi'us Ramsey,"$1,517,981"
413,CJ Elleby,"$1,517,981"
414,Elijah Hughes,"$1,517,981"
415,Isaiah Joe,"$1,517,981"
416,Naji Marshall,"$1,517,981"
417,Jordan Nwora,"$1,517,981"
418,Nick Richards,"$1,517,981"
419,Anthony Gill,"$1,517,981"
420,Paul Reed,"$1,517,981"
421,Kenyon Martin,"$1,517,981"
422,Jae'Sean Tate,"$1,517,981"
423,Lamar Stevens,"$1,517,981"
424,Isaiah Todd,"$1,500,000"
425,Jose Alvarado,"$1,500,000"
426,Saben Lee,"$1,489,065"
427,Omer Yurtseven,"$1,489,065"
428,Armoni Brooks,"$1,625,991"
429,JR Smith,"$1,456,666"
430,Danuel House,"$2,045,094"
431,Bismack Biyombo,"$1,366,392"
432,DeMarre Carroll,"$1,252,127"
433,JT Thor,"$1,250,000"
434,Garrison Mathews,"$1,093,598"
435,Alfonzo McKinnie,"$1,090,007"
436,Jabari Parker,"$1,068,288"
437,Jason Preston,"$1,062,303"
438,Isaiah Livers,"$1,057,260"
439,Guerschon Yabusele,"$1,039,080"
440,Aaron Wiggins,"$1,000,000"
441,Kyle Singler,"$999,200"
442,Marquese Chriss,"$958,529"
443,Jared Butler,"$925,258"
444,Greg Brown,"$925,258"
445,Miles McBride,"$925,258"
446,Brandon Boston,"$925,258"
447,Marko Simonovic,"$925,258"
448,Vit Krejci,"$925,258"
449,Charles Bassey,"$925,258"
450,Dalano Banton,"$925,258"
451,Jock Landale,"$925,258"
452,Ayo Dosunmu,"$925,258"
453,Austin Reaves,"$925,258"
454,Luka Garza,"$925,258"
455,Lance Stephenson,"$924,730"
456,Stanley Johnson,"$888,616"
457,Miye Oni,"$850,331"
458,Wayne Selden,"$785,102"
459,Brad Wanamaker,"$705,598"
460,Alize Johnson,"$705,598"
461,DeMarcus Cousins,"$1,290,481"
462,Shaun Livingston,"$666,666"
463,Sam Merrill,"$663,024"
464,Luke Kornet,"$606,702"
465,Ryan Arcidiacono,"$586,136"
466,Keifer Sykes,"$558,345"
467,Caleb Martin,"$527,614"
468,Georgios Kalaitzakis,"$462,629"
469,Gary Clark,"$377,645"
470,Devontae Cacok,"$364,533"
471,Sam Dekker,"$350,000"
472,Sam Hauser,"$313,737"
473,Daishen Nix,"$292,466"
474,Haywood Highsmith,"$290,967"
475,Isaiah Thomas,"$276,039"
476,Trendon Watford,"$260,561"
477,Ish Wainright,"$8,558"
478,Malik Fitts,"$231,062"
479,Joe Wieskamp,"$202,068"
480,Amir Coffey,"$153,488"
481,Greg Monroe,"$55,208"
482,Troy Williams,"$122,741"
483,Devin Cannady,"$100,000"
484,Wenyen Gabriel,"$29,814"
485,Juwan Morgan,"$19,186"
486,Rayjon Tucker,"$28,779"
487,Demetrius Jackson,"$92,857"
488,RJ Nembhard,"$58,493"
489,Luca Vildoza,"$51,347"
490,Skylar Mays,"$34,231"
491,Terry Taylor,"$21,270"
492,Duane Washington,"$21,270"
493,Trent Forrest,"$8,558"
494,Kessler Edwards,"$5,318"
